"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 12, 2018","13,174.28","12,985.70","13,207.08","12,985.70","-","1.45%"
"Jan 11, 2018","12,985.70","13,048.34","13,061.08","12,906.12","-","-0.48%"
"Jan 10, 2018","13,048.34","13,099.36","13,105.96","13,011.93","-","-0.39%"
"Jan 09, 2018","13,099.36","13,018.03","13,138.54","13,018.03","-","0.62%"
"Jan 08, 2018","13,018.03","12,966.42","13,025.54","12,918.17","-","0.40%"
"Jan 05, 2018","12,966.42","12,790.42","12,966.42","12,756.16","-","1.38%"
"Jan 04, 2018","12,790.42","12,591.27","12,795.56","12,591.27","-","1.58%"
"Jan 03, 2018","12,591.27","12,480.42","12,610.16","12,459.39","-","0.89%"
"Jan 02, 2018","12,480.42","12,493.25","12,558.75","12,408.73","-","-0.10%"
"Dec 29, 2017","12,493.25","12,528.75","12,566.40","12,488.43","-","-0.28%"
"Dec 28, 2017","12,528.75","12,569.15","12,607.01","12,510.50","-","-0.32%"
"Dec 27, 2017","12,569.15","12,436.16","12,569.15","12,407.34","-","1.07%"
"Dec 22, 2017","12,436.16","12,433.43","12,470.51","12,393.59","-","0.02%"
"Dec 21, 2017","12,433.43","12,331.43","12,447.92","12,283.76","-","0.83%"
"Dec 20, 2017","12,331.43","12,351.99","12,370.29","12,245.85","-","-0.17%"
"Dec 19, 2017","12,351.99","12,250.42","12,385.15","12,207.89","-","0.83%"
"Dec 18, 2017","12,250.42","12,042.97","12,274.83","12,042.97","-","1.72%"
"Dec 15, 2017","12,042.97","12,015.21","12,118.75","11,983.78","-","0.23%"
"Dec 14, 2017","12,015.21","12,055.98","12,121.53","12,008.37","-","-0.34%"
"Dec 13, 2017","12,055.98","12,121.98","12,121.98","11,993.90","-","-0.54%"
"Dec 12, 2017","12,121.98","12,182.18","12,202.46","12,069.63","-","-0.49%"
"Dec 11, 2017","12,182.18","12,101.71","12,233.02","12,059.67","-","0.66%"
"Dec 08, 2017","12,101.71","12,040.03","12,113.85","12,008.94","-","0.51%"
"Dec 07, 2017","12,040.03","12,068.66","12,095.83","11,974.44","-","-0.24%"
"Dec 06, 2017","12,068.66","12,021.09","12,097.48","11,901.21","-","0.40%"
"Dec 05, 2017","12,021.09","12,142.01","12,156.12","11,961.62","-","-1.00%"
"Dec 04, 2017","12,142.01","12,017.97","12,253.37","12,017.97","-","1.03%"
"Dec 01, 2017","12,017.97","12,087.82","12,147.69","11,926.61","-","-0.58%"
"Nov 30, 2017","12,087.82","12,274.75","12,289.15","12,065.12","-","-1.52%"
"Nov 29, 2017","12,274.75","12,429.07","12,492.47","12,261.64","-","-1.24%"
"Nov 28, 2017","12,429.07","12,296.43","12,445.57","12,274.75","-","1.08%"
"Nov 27, 2017","12,296.43","12,348.52","12,425.03","12,286.29","-","-0.42%"
"Nov 24, 2017","12,348.52","12,338.92","12,430.53","12,324.96","-","0.08%"
"Nov 23, 2017","12,338.92","12,314.97","12,412.60","12,252.86","-","0.19%"
"Nov 22, 2017","12,314.97","12,330.22","12,448.36","12,302.26","-","-0.12%"
"Nov 21, 2017","12,330.22","12,211.69","12,357.38","12,137.66","-","0.97%"
"Nov 20, 2017","12,211.69","12,086.25","12,224.65","12,024.26","-","1.04%"
"Nov 17, 2017","12,086.25","12,076.86","12,155.49","12,025.66","-","0.08%"
"Nov 16, 2017","12,076.86","11,959.37","12,114.07","11,952.78","-","0.98%"
"Nov 15, 2017","11,959.37","12,075.03","12,075.03","11,882.29","-","-0.96%"
"Nov 14, 2017","12,075.03","12,009.56","12,165.01","11,991.23","-","0.55%"
"Nov 13, 2017","12,009.56","12,158.46","12,270.27","11,964.49","-","-1.22%"
"Nov 10, 2017","12,158.46","12,157.34","12,208.44","12,099.31","-","0.01%"
"Nov 09, 2017","12,157.34","12,295.83","12,372.55","12,134.93","-","-1.13%"
"Nov 08, 2017","12,295.83","12,310.05","12,345.78","12,279.58","-","-0.12%"
"Nov 07, 2017","12,310.05","12,348.40","12,390.05","12,303.77","-","-0.31%"
"Nov 06, 2017","12,348.40","12,500.08","12,547.97","12,327.48","-","-1.21%"
"Nov 03, 2017","12,500.08","12,323.60","12,500.69","12,275.98","-","1.43%"
"Nov 02, 2017","12,323.60","12,225.88","12,336.77","12,197.40","-","0.80%"
"Nov 01, 2017","12,225.88","12,090.83","12,329.83","12,090.50","-","1.12%"
"Oct 31, 2017","12,090.83","12,455.08","12,455.08","12,017.14","-","-2.92%"
"Oct 30, 2017","12,455.08","12,489.20","12,531.62","12,443.76","-","-0.27%"
"Oct 27, 2017","12,489.20","12,422.64","12,515.32","12,412.32","-","0.54%"
"Oct 26, 2017","12,422.64","12,402.61","12,495.35","12,329.22","-","0.16%"
"Oct 25, 2017","12,402.61","12,252.18","12,434.33","12,237.41","-","1.23%"
"Oct 24, 2017","12,252.18","12,221.38","12,373.08","12,194.57","-","0.25%"
"Oct 23, 2017","12,221.38","12,128.61","12,221.38","12,065.81","-","0.76%"
"Oct 20, 2017","12,128.61","12,135.85","12,213.19","12,091.10","-","-0.06%"
"Oct 19, 2017","12,135.85","12,164.15","12,175.98","12,027.83","-","-0.23%"
"Oct 18, 2017","12,164.15","12,092.48","12,219.84","12,052.96","-","0.59%"
"Oct 17, 2017","12,092.48","12,153.53","12,183.56","12,053.25","-","-0.50%"
"Oct 16, 2017","12,153.53","12,258.53","12,281.73","12,153.50","-","-0.86%"
"Oct 13, 2017","12,258.53","12,229.85","12,280.54","12,181.45","-","0.23%"
"Oct 12, 2017","12,229.85","12,241.38","12,269.64","12,185.29","-","-0.09%"
"Oct 11, 2017","12,241.38","12,214.59","12,241.38","12,153.74","-","0.22%"
"Oct 10, 2017","12,214.59","12,207.16","12,260.31","12,114.50","-","0.06%"
"Oct 09, 2017","12,207.16","12,208.35","12,236.11","12,135.81","-","-0.01%"
"Oct 06, 2017","12,208.35","12,152.58","12,222.13","12,132.85","-","0.46%"
"Oct 05, 2017","12,152.58","12,101.80","12,176.04","12,068.44","-","0.42%"
"Oct 04, 2017","12,101.80","11,996.24","12,101.80","11,954.97","-","0.88%"
"Oct 03, 2017","11,996.24","12,044.45","12,060.39","11,991.04","-","-0.40%"
"Oct 02, 2017","12,044.45","12,010.07","12,076.12","12,006.54","-","0.29%"
"Sep 29, 2017","12,010.07","11,923.67","12,015.12","11,874.74","-","0.72%"
"Sep 28, 2017","11,923.67","11,798.70","11,926.35","11,798.70","-","1.06%"
"Sep 27, 2017","11,798.70","11,728.18","11,831.74","11,659.19","-","0.60%"
"Sep 26, 2017","11,728.18","11,588.68","11,738.24","11,574.64","-","1.20%"
"Sep 25, 2017","11,588.68","11,584.37","11,696.44","11,544.46","-","0.04%"
"Sep 22, 2017","11,584.37","11,477.55","11,593.12","11,368.51","-","0.93%"
"Sep 21, 2017","11,477.55","11,565.15","11,565.77","11,440.66","-","-0.76%"
"Sep 20, 2017","11,565.15","11,679.80","11,710.32","11,556.27","-","-0.98%"
"Sep 19, 2017","11,679.80","11,539.07","11,701.82","11,533.52","-","1.22%"
"Sep 18, 2017","11,539.07","11,312.76","11,550.15","11,312.76","-","2.00%"
"Sep 15, 2017","11,312.76","11,610.02","11,646.08","11,312.76","-","-2.56%"
"Sep 14, 2017","11,610.02","11,565.95","11,712.41","11,529.52","-","0.38%"
"Sep 13, 2017","11,565.95","11,604.55","11,635.41","11,521.79","-","-0.33%"
"Sep 12, 2017","11,604.55","11,611.42","11,689.04","11,591.79","-","-0.06%"
"Sep 11, 2017","11,611.42","11,564.28","11,705.56","11,564.28","-","0.41%"
"Sep 08, 2017","11,564.28","11,527.56","11,591.65","11,444.77","-","0.32%"
"Sep 07, 2017","11,527.56","11,523.18","11,563.96","11,486.05","-","0.04%"
"Sep 06, 2017","11,523.18","11,554.84","11,570.59","11,485.51","-","-0.27%"
"Sep 05, 2017","11,554.84","11,465.41","11,634.93","11,465.41","-","0.78%"
"Sep 04, 2017","11,465.41","11,475.05","11,495.31","11,369.08","-","-0.08%"
"Sep 01, 2017","11,475.05","11,449.75","11,550.89","11,449.75","-","0.22%"
"Aug 31, 2017","11,449.75","11,408.22","11,521.49","11,408.22","-","0.36%"
"Aug 30, 2017","11,408.22","11,280.00","11,421.31","11,280.00","-","1.14%"
"Aug 29, 2017","11,280.00","11,522.00","11,528.23","11,261.73","-","-2.10%"
"Aug 25, 2017","11,522.00","11,489.84","11,622.78","11,489.84","-","0.28%"
"Aug 24, 2017","11,489.84","11,383.01","11,505.30","11,368.68","-","0.94%"
"Aug 23, 2017","11,383.01","11,416.23","11,459.84","11,365.40","-","-0.29%"
"Aug 22, 2017","11,416.23","11,329.06","11,445.33","11,324.88","-","0.77%"
"Aug 21, 2017","11,329.06","11,369.63","11,369.63","11,270.59","-","-0.36%"
"Aug 18, 2017","11,369.63","11,419.18","11,419.18","11,273.63","-","-0.43%"
"Aug 17, 2017","11,419.18","11,532.50","11,563.96","11,407.37","-","-0.98%"
"Aug 16, 2017","11,532.50","11,392.29","11,542.81","11,392.29","-","1.23%"
"Aug 15, 2017","11,392.29","11,433.35","11,470.86","11,349.30","-","-0.36%"
"Aug 14, 2017","11,433.35","11,450.34","11,545.58","11,380.32","-","-0.15%"
"Aug 11, 2017","11,450.34","11,571.78","11,571.78","11,341.89","-","-1.05%"
"Aug 10, 2017","11,571.78","11,702.61","11,705.81","11,509.43","-","-1.12%"
"Aug 09, 2017","11,702.61","11,582.85","11,702.61","11,539.96","-","1.03%"
"Aug 08, 2017","11,582.85","11,639.07","11,682.27","11,542.37","-","-0.48%"
"Aug 07, 2017","11,639.07","11,602.01","11,685.17","11,584.66","-","0.32%"
"Aug 04, 2017","11,602.01","11,496.61","11,626.64","11,399.79","-","0.92%"
"Aug 03, 2017","11,496.61","11,475.06","11,571.08","11,415.80","-","0.19%"
"Aug 02, 2017","11,475.06","11,629.27","11,667.50","11,463.10","-","-1.33%"
"Aug 01, 2017","11,629.27","11,594.15","11,669.47","11,558.69","-","0.30%"
"Jul 31, 2017","11,594.15","11,649.65","11,703.71","11,570.80","-","-0.48%"
"Jul 28, 2017","11,649.65","11,967.05","11,967.05","11,629.86","-","-2.65%"
"Jul 27, 2017","11,967.05","11,998.17","12,025.05","11,853.37","-","-0.26%"
"Jul 26, 2017","11,998.17","11,857.10","12,028.54","11,857.10","-","1.19%"
"Jul 25, 2017","11,857.10","11,823.09","11,955.00","11,816.13","-","0.29%"
"Jul 24, 2017","11,823.09","11,990.76","11,994.45","11,776.37","-","-1.40%"
"Jul 21, 2017","11,990.76","11,999.47","12,051.67","11,880.10","-","-0.07%"
"Jul 20, 2017","11,999.47","11,985.95","12,051.59","11,945.37","-","0.11%"
"Jul 19, 2017","11,985.95","11,964.55","12,050.08","11,886.39","-","0.18%"
"Jul 18, 2017","11,964.55","11,992.98","12,044.14","11,938.12","-","-0.24%"
"Jul 17, 2017","11,992.98","11,627.72","12,067.18","11,627.72","-","3.14%"
"Jul 14, 2017","11,627.72","11,595.90","11,649.56","11,558.68","-","0.27%"
"Jul 13, 2017","11,595.90","11,548.46","11,599.95","11,501.37","-","0.41%"
"Jul 12, 2017","11,548.46","11,365.30","11,549.40","11,365.30","-","1.61%"
"Jul 11, 2017","11,365.30","11,396.52","11,455.62","11,317.53","-","-0.27%"
"Jul 10, 2017","11,396.52","11,314.40","11,404.25","11,285.62","-","0.73%"
"Jul 07, 2017","11,314.40","11,293.65","11,342.91","11,225.20","-","0.18%"
"Jul 06, 2017","11,293.65","11,335.47","11,354.05","11,197.33","-","-0.37%"
"Jul 05, 2017","11,335.47","11,225.25","11,341.10","11,219.06","-","0.98%"
"Jul 04, 2017","11,225.25","11,291.92","11,291.92","11,200.64","-","-0.59%"
"Jul 03, 2017","11,291.92","11,140.95","11,313.77","11,138.29","-","1.36%"
"Jun 30, 2017","11,140.95","11,127.15","11,228.18","11,109.89","-","0.12%"
"Jun 29, 2017","11,127.15","11,279.82","11,341.86","11,096.73","-","-1.35%"
"Jun 28, 2017","11,279.82","11,324.69","11,332.42","11,179.23","-","-0.40%"
"Jun 27, 2017","11,324.69","11,381.97","11,381.97","11,265.75","-","-0.50%"
"Jun 26, 2017","11,381.97","11,425.33","11,468.93","11,371.67","-","-0.38%"
"Jun 23, 2017","11,425.33","11,370.59","11,455.66","11,341.58","-","0.48%"
"Jun 22, 2017","11,370.59","11,237.57","11,370.59","11,194.96","-","1.18%"
"Jun 21, 2017","11,237.57","11,241.43","11,288.04","11,184.36","-","-0.03%"
"Jun 20, 2017","11,241.43","11,476.22","11,491.92","11,215.29","-","-2.05%"
"Jun 19, 2017","11,476.22","11,361.70","11,488.21","11,359.67","-","1.01%"
"Jun 16, 2017","11,361.70","11,147.13","11,374.06","11,138.82","-","1.92%"
"Jun 15, 2017","11,147.13","11,446.96","11,481.88","11,052.41","-","-2.62%"
"Jun 14, 2017","11,446.96","11,536.18","11,581.87","11,446.96","-","-0.77%"
"Jun 13, 2017","11,536.18","11,432.44","11,576.29","11,428.71","-","0.91%"
"Jun 12, 2017","11,432.44","11,617.88","11,643.44","11,378.74","-","-1.60%"
"Jun 09, 2017","11,617.88","11,441.20","11,629.41","11,441.20","-","1.54%"
"Jun 08, 2017","11,441.20","11,445.13","11,472.27","11,346.46","-","-0.03%"
"Jun 07, 2017","11,445.13","11,381.19","11,523.63","11,376.70","-","0.56%"
"Jun 06, 2017","11,381.19","11,514.02","11,566.44","11,367.98","-","-1.15%"
"Jun 05, 2017","11,514.02","11,643.42","11,663.90","11,504.19","-","-1.11%"
"Jun 02, 2017","11,643.42","11,624.17","11,671.40","11,574.26","-","0.17%"
"Jun 01, 2017","11,624.17","11,627.09","11,743.45","11,597.10","-","-0.03%"
"May 31, 2017","11,627.09","11,700.03","11,746.61","11,615.83","-","-0.62%"
"May 30, 2017","11,700.03","11,781.07","11,781.07","11,684.84","-","-0.69%"
"May 26, 2017","11,781.07","11,533.17","11,824.14","11,531.80","-","2.15%"
"May 25, 2017","11,533.17","11,519.66","11,566.73","11,460.36","-","0.12%"
"May 24, 2017","11,519.66","11,503.04","11,532.16","11,473.00","-","0.14%"
"May 23, 2017","11,503.04","11,464.67","11,558.00","11,456.04","-","0.33%"
"May 22, 2017","11,464.67","11,495.96","11,562.02","11,464.67","-","-0.27%"
"May 19, 2017","11,495.96","11,268.41","11,535.09","11,268.41","-","2.02%"
"May 18, 2017","11,268.41","11,430.80","11,430.80","11,082.42","-","-1.42%"
"May 17, 2017","11,430.80","11,654.26","11,654.98","11,414.87","-","-1.92%"
"May 16, 2017","11,654.26","11,494.83","11,675.12","11,494.83","-","1.39%"
"May 15, 2017","11,494.83","11,397.97","11,535.05","11,397.40","-","0.85%"
"May 12, 2017","11,397.97","11,518.93","11,529.51","11,380.91","-","-1.05%"
"May 11, 2017","11,518.93","11,571.81","11,627.05","11,482.24","-","-0.46%"
"May 10, 2017","11,571.81","11,533.53","11,603.92","11,493.75","-","0.33%"
"May 09, 2017","11,533.53","11,533.66","11,618.63","11,526.04","-","-0.00%"
"May 08, 2017","11,533.66","11,625.38","11,650.63","11,478.11","-","-0.79%"
"May 05, 2017","11,625.38","11,603.70","11,625.38","11,470.86","-","0.19%"
"May 04, 2017","11,603.70","11,683.91","11,727.11","11,569.08","-","-0.69%"
"May 03, 2017","11,683.91","11,861.59","11,861.59","11,663.36","-","-1.50%"
"May 02, 2017","11,861.59","11,778.02","11,861.59","11,739.30","-","0.71%"
"Apr 28, 2017","11,778.02","11,747.08","11,865.78","11,669.14","-","0.26%"
"Apr 27, 2017","11,747.08","12,013.75","12,013.75","11,722.58","-","-2.22%"
"Apr 26, 2017","12,013.75","11,919.40","12,030.83","11,852.86","-","0.79%"
"Apr 25, 2017","11,919.40","11,748.18","11,975.66","11,748.18","-","1.46%"
"Apr 24, 2017","11,748.18","11,495.29","11,754.45","11,495.29","-","2.20%"
"Apr 21, 2017","11,495.29","11,472.61","11,537.66","11,412.46","-","0.20%"
"Apr 20, 2017","11,472.61","11,470.00","11,485.06","11,356.60","-","0.02%"
"Apr 19, 2017","11,470.00","11,406.08","11,543.44","11,372.49","-","0.56%"
"Apr 18, 2017","11,406.08","11,680.89","11,707.57","11,406.08","-","-2.35%"
"Apr 13, 2017","11,680.89","11,693.01","11,733.20","11,567.58","-","-0.10%"
"Apr 12, 2017","11,693.01","11,534.51","11,730.73","11,534.51","-","1.37%"
"Apr 11, 2017","11,534.51","11,532.77","11,647.80","11,503.29","-","0.02%"
"Apr 10, 2017","11,532.77","11,522.82","11,592.95","11,503.26","-","0.09%"
"Apr 07, 2017","11,522.82","11,445.58","11,525.20","11,383.58","-","0.67%"
"Apr 06, 2017","11,445.58","11,449.96","11,470.25","11,260.54","-","-0.04%"
"Apr 05, 2017","11,449.96","11,388.51","11,507.24","11,377.32","-","0.54%"
"Apr 04, 2017","11,388.51","11,255.03","11,503.69","11,255.03","-","1.19%"
"Apr 03, 2017","11,255.03","11,168.37","11,310.23","11,168.37","-","0.78%"
"Mar 31, 2017","11,168.37","11,366.33","11,368.81","11,141.52","-","-1.74%"
"Mar 30, 2017","11,366.33","11,218.64","11,399.26","11,218.64","-","1.32%"
"Mar 29, 2017","11,218.64","11,171.64","11,218.64","11,152.87","-","0.42%"
"Mar 28, 2017","11,171.64","11,107.64","11,183.97","11,050.73","-","0.58%"
"Mar 27, 2017","11,107.64","11,277.62","11,277.62","11,051.09","-","-1.51%"
"Mar 24, 2017","11,277.62","11,285.77","11,310.07","11,166.86","-","-0.07%"
"Mar 23, 2017","11,285.77","11,159.91","11,324.02","11,077.73","-","1.13%"
"Mar 22, 2017","11,159.91","11,341.61","11,341.61","11,068.72","-","-1.60%"
"Mar 21, 2017","11,341.61","11,586.77","11,613.64","11,341.61","-","-2.12%"
"Mar 20, 2017","11,586.77","11,559.48","11,618.94","11,476.15","-","0.24%"
"Mar 17, 2017","11,559.48","11,419.58","11,559.48","11,419.58","-","1.23%"
"Mar 16, 2017","11,419.58","11,403.46","11,578.07","11,387.72","-","0.14%"
"Mar 15, 2017","11,403.46","11,217.75","11,404.93","11,217.75","-","1.66%"
"Mar 14, 2017","11,217.75","11,258.70","11,344.94","11,157.58","-","-0.36%"
"Mar 13, 2017","11,258.70","11,235.97","11,319.38","11,185.65","-","0.20%"
"Mar 10, 2017","11,235.97","11,190.12","11,353.33","11,190.12","-","0.41%"
"Mar 09, 2017","11,190.12","11,326.30","11,392.23","11,129.06","-","-1.20%"
"Mar 08, 2017","11,326.30","11,256.18","11,359.91","11,240.06","-","0.62%"
"Mar 07, 2017","11,256.18","11,223.66","11,292.60","11,191.17","-","0.29%"
"Mar 06, 2017","11,223.66","11,276.98","11,292.85","11,172.13","-","-0.47%"
"Mar 03, 2017","11,276.98","11,301.28","11,301.28","11,220.28","-","-0.22%"
"Mar 02, 2017","11,301.28","11,275.98","11,303.32","11,157.39","-","0.22%"
"Mar 01, 2017","11,275.98","10,960.11","11,281.90","10,960.11","-","2.88%"
"Feb 28, 2017","10,960.11","10,790.58","10,999.13","10,785.08","-","1.57%"
"Feb 27, 2017","10,790.58","10,563.61","10,822.64","10,563.61","-","2.15%"
"Feb 24, 2017","10,563.61","10,579.59","10,651.29","10,491.43","-","-0.15%"
"Feb 23, 2017","10,579.59","10,712.29","10,733.03","10,570.09","-","-1.24%"
"Feb 22, 2017","10,712.29","11,091.18","11,140.61","10,675.58","-","-3.42%"
"Feb 21, 2017","11,091.18","10,991.43","11,099.86","10,952.13","-","0.91%"
"Feb 20, 2017","10,991.43","10,939.13","11,029.41","10,924.51","-","0.48%"
"Feb 17, 2017","10,939.13","11,086.76","11,150.81","10,907.60","-","-1.33%"
"Feb 16, 2017","11,086.76","11,134.16","11,149.25","11,059.89","-","-0.43%"
"Feb 15, 2017","11,134.16","11,057.01","11,151.17","11,040.26","-","0.70%"
"Feb 14, 2017","11,057.01","11,042.36","11,123.37","10,958.65","-","0.13%"
"Feb 13, 2017","11,042.36","10,978.72","11,047.62","10,925.71","-","0.58%"
"Feb 10, 2017","10,978.72","10,910.74","10,988.03","10,886.89","-","0.62%"
"Feb 09, 2017","10,910.74","10,963.11","10,969.79","10,819.00","-","-0.48%"
"Feb 08, 2017","10,963.11","11,146.02","11,166.58","10,943.12","-","-1.64%"
"Feb 07, 2017","11,146.02","11,021.01","11,173.32","11,012.88","-","1.13%"
"Feb 06, 2017","11,021.01","11,061.10","11,119.28","11,009.79","-","-0.36%"
"Feb 03, 2017","11,061.10","10,941.88","11,110.61","10,941.88","-","1.09%"
"Feb 02, 2017","10,941.88","10,945.54","10,956.75","10,861.62","-","-0.03%"
"Feb 01, 2017","10,945.54","10,866.99","11,006.23","10,840.30","-","0.72%"
"Jan 31, 2017","10,866.99","10,858.26","10,998.46","10,842.48","-","0.08%"
"Jan 30, 2017","10,858.26","10,962.04","10,969.45","10,844.02","-","-0.95%"
"Jan 27, 2017","10,962.04","10,929.83","10,988.80","10,889.85","-","0.29%"
"Jan 26, 2017","10,929.83","10,804.29","10,996.10","10,804.29","-","1.16%"
"Jan 25, 2017","10,804.29","10,648.00","10,889.16","10,648.00","-","1.47%"
"Jan 24, 2017","10,648.00","10,627.08","10,685.63","10,568.61","-","0.20%"
"Jan 23, 2017","10,627.08","10,709.89","10,741.51","10,616.59","-","-0.77%"
"Jan 20, 2017","10,709.89","10,671.38","10,740.65","10,639.16","-","0.36%"
"Jan 19, 2017","10,671.38","10,679.74","10,752.56","10,600.76","-","-0.08%"
"Jan 18, 2017","10,679.74","10,618.40","10,683.93","10,544.16","-","0.58%"
"Jan 17, 2017","10,618.40","10,783.62","10,783.62","10,577.25","-","-1.53%"
"Jan 16, 2017","10,783.62","10,820.88","10,870.48","10,763.87","-","-0.34%"
"Jan 13, 2017","10,820.88","10,716.97","10,820.88","10,676.31","-","0.97%"
"Jan 12, 2017","10,716.97","10,742.48","10,762.44","10,642.67","-","-0.24%"
"Jan 11, 2017","10,742.48","10,662.19","10,761.82","10,648.51","-","0.75%"
"Jan 10, 2017","10,662.19","10,575.45","10,727.20","10,575.45","-","0.82%"
"Jan 09, 2017","10,575.45","10,567.19","10,671.28","10,525.86","-","0.08%"
"Jan 06, 2017","10,567.19","10,402.25","10,572.45","10,396.73","-","1.59%"
"Jan 05, 2017","10,402.25","10,361.92","10,435.40","10,336.91","-","0.39%"
"Jan 04, 2017","10,361.92","10,401.51","10,413.02","10,305.02","-","-0.38%"
"Jan 03, 2017","10,401.51","10,253.86","10,444.23","10,253.86","-","1.44%"
"Dec 30, 2016","10,253.86","10,245.63","10,268.59","10,158.72","-","0.08%"
"Dec 29, 2016","10,245.63","10,370.59","10,370.59","10,188.78","-","-1.20%"
"Dec 28, 2016","10,370.59","10,186.08","10,374.69","10,092.86","-","1.81%"
"Dec 23, 2016","10,186.08","10,194.20","10,230.00","10,169.12","-","-0.08%"
"Dec 22, 2016","10,194.20","10,179.61","10,246.61","10,119.13","-","0.14%"
"Dec 21, 2016","10,179.61","10,138.17","10,208.82","10,092.70","-","0.41%"
"Dec 20, 2016","10,138.17","10,163.79","10,203.61","10,124.79","-","-0.25%"
"Dec 19, 2016","10,163.79","10,169.77","10,220.35","10,119.27","-","-0.06%"
"Dec 16, 2016","10,169.77","10,202.34","10,248.37","10,129.75","-","-0.32%"
"Dec 15, 2016","10,202.34","10,164.53","10,240.97","10,130.00","-","0.37%"
"Dec 14, 2016","10,164.53","10,116.85","10,205.51","10,071.34","-","0.47%"
"Dec 13, 2016","10,116.85","10,201.26","10,232.18","10,039.55","-","-0.83%"
"Dec 12, 2016","10,201.26","10,213.43","10,319.20","10,178.42","-","-0.12%"
"Dec 09, 2016","10,213.43","10,119.64","10,233.87","10,039.69","-","0.93%"
"Dec 08, 2016","10,119.64","10,113.46","10,211.58","10,065.01","-","0.06%"
"Dec 07, 2016","10,113.46","10,088.73","10,162.90","9,997.16","-","0.25%"
"Dec 06, 2016","10,088.73","10,232.20","10,232.20","10,045.74","-","-1.40%"
"Dec 05, 2016","10,232.20","10,054.25","10,264.70","9,975.37","-","1.77%"
"Dec 02, 2016","10,054.25","10,156.08","10,156.08","9,973.18","-","-1.00%"
"Dec 01, 2016","10,156.08","9,910.49","10,164.18","9,907.73","-","2.48%"
"Nov 30, 2016","9,910.49","9,720.41","9,948.20","9,689.43","-","1.96%"
"Nov 29, 2016","9,720.41","9,840.40","9,894.85","9,663.24","-","-1.22%"
"Nov 28, 2016","9,840.40","9,938.01","9,938.01","9,791.30","-","-0.98%"
"Nov 25, 2016","9,938.01","9,994.65","10,048.18","9,919.70","-","-0.57%"
"Nov 24, 2016","9,994.65","9,968.92","10,008.15","9,936.87","-","0.26%"
"Nov 23, 2016","9,968.92","9,779.04","9,970.17","9,779.04","-","1.94%"
"Nov 22, 2016","9,779.04","9,533.63","9,801.13","9,533.63","-","2.57%"
"Nov 21, 2016","9,533.63","9,525.20","9,601.32","9,465.88","-","0.09%"
"Nov 18, 2016","9,525.20","9,568.53","9,612.44","9,488.37","-","-0.45%"
"Nov 17, 2016","9,568.53","9,407.19","9,569.49","9,407.19","-","1.72%"
"Nov 16, 2016","9,407.19","9,477.23","9,547.24","9,404.22","-","-0.74%"
"Nov 15, 2016","9,477.23","9,425.59","9,530.00","9,395.52","-","0.55%"
"Nov 14, 2016","9,425.59","9,431.75","9,573.74","9,388.85","-","-0.07%"
"Nov 11, 2016","9,431.75","9,785.15","9,855.02","9,397.33","-","-3.61%"
"Nov 10, 2016","9,785.15","9,632.72","10,008.36","9,589.55","-","1.58%"
"Nov 09, 2016","9,632.72","9,247.31","9,655.89","8,972.34","-","4.17%"
"Nov 08, 2016","9,247.31","9,229.01","9,247.31","9,153.27","-","0.20%"
"Nov 07, 2016","9,229.01","9,151.69","9,296.70","9,151.69","-","0.84%"
"Nov 04, 2016","9,151.69","9,303.72","9,303.72","9,057.08","-","-1.63%"
"Nov 03, 2016","9,303.72","9,359.07","9,413.00","9,297.18","-","-0.59%"
"Nov 02, 2016","9,359.07","9,464.11","9,464.57","9,310.39","-","-1.11%"
"Nov 01, 2016","9,464.11","9,574.50","9,583.31","9,348.07","-","-1.15%"
"Oct 31, 2016","9,574.50","9,586.72","9,617.50","9,515.75","-","-0.13%"
"Oct 28, 2016","9,586.72","9,584.35","9,632.39","9,475.69","-","0.02%"
"Oct 27, 2016","9,584.35","9,692.24","9,738.60","9,572.93","-","-1.11%"
"Oct 26, 2016","9,692.24","9,801.63","9,801.63","9,609.28","-","-1.12%"
"Oct 25, 2016","9,801.63","9,932.36","9,993.30","9,782.69","-","-1.32%"
"Oct 24, 2016","9,932.36","9,966.77","10,106.32","9,924.92","-","-0.35%"
"Oct 21, 2016","9,966.77","9,993.72","10,050.63","9,951.01","-","-0.27%"
"Oct 20, 2016","9,993.72","10,181.81","10,181.81","9,972.26","-","-1.85%"
"Oct 19, 2016","10,181.81","10,184.28","10,195.03","10,087.54","-","-0.02%"
"Oct 18, 2016","10,184.28","10,058.12","10,237.27","10,058.12","-","1.25%"
"Oct 17, 2016","10,058.12","10,112.89","10,112.89","10,008.09","-","-0.54%"
"Oct 14, 2016","10,112.89","10,062.62","10,135.02","10,042.43","-","0.50%"
"Oct 13, 2016","10,062.62","10,113.48","10,114.16","10,022.79","-","-0.50%"
"Oct 12, 2016","10,113.48","10,149.98","10,190.25","10,070.30","-","-0.36%"
"Oct 11, 2016","10,149.98","10,191.18","10,268.49","10,134.02","-","-0.40%"
"Oct 10, 2016","10,191.18","10,162.75","10,263.04","10,154.73","-","0.28%"
"Oct 07, 2016","10,162.75","10,158.99","10,266.22","10,153.15","-","0.04%"
"Oct 06, 2016","10,158.99","10,175.47","10,250.65","10,146.13","-","-0.16%"
"Oct 05, 2016","10,175.47","10,287.33","10,304.62","10,160.30","-","-1.09%"
